,Symbol,Trade Date,Trade Type,Quantity,Price,currPrice,PnL
268,BAJFINANCE,2023-01-18,buy,1,6000.0,7517.60009765625,1517.60009765625
97,HAPPSTMNDS,2023-01-30,buy,13,830.0,934.7000122070312,1361.1001586914062
207,DMART,2023-02-02,buy,3,3530.0,4045.64990234375,1546.94970703125
173,DIVISLAB,2023-02-06,buy,1,2780.0,3696.39990234375,916.39990234375
129,RELAXO,2023-02-06,buy,15,775.0,911.7000122070312,2050.5001831054688
175,DIVISLAB,2023-02-06,buy,2,2780.0,3696.39990234375,1832.7998046875
39,LAURUSLABS,2023-02-06,buy,25,333.0,385.45001220703125,1311.2503051757812
38,LAURUSLABS,2023-02-06,buy,8,333.0,385.45001220703125,419.60009765625
174,DIVISLAB,2023-02-06,buy,1,2780.0,3696.39990234375,916.39990234375
68,NAUKRI,2023-02-13,buy,4,3380.0,5221.5498046875,7366.19921875
48,DIXON,2023-02-22,buy,4,2650.0,6315.85009765625,14663.400390625
188,AFFLE,2023-02-22,buy,10,1020.0,1212.199951171875,1921.99951171875
291,DEVYANI,2023-02-23,buy,12,149.0,184.6999969482422,428.39996337890625
290,DEVYANI,2023-02-23,buy,38,149.0,184.6999969482422,1356.5998840332031
111,PRINCEPIPE,2023-02-27,buy,20,550.0,705.3499755859375,3106.99951171875
340,FINEORG,2023-03-02,buy,3,4555.0,4466.60009765625,-265.19970703125
130,RELAXO,2023-03-13,buy,15,751.0,911.7000122070312,2410.5001831054688
208,DMART,2023-03-13,buy,3,3375.0,4045.64990234375,2011.94970703125
235,SONACOMS,2023-03-13,buy,25,415.0,553.0999755859375,3452.4993896484375
341,FINEORG,2023-03-14,buy,3,4222.0,4466.60009765625,733.80029296875
189,AFFLE,2023-03-15,buy,9,950.0,1212.199951171875,2359.799560546875
332,PRAJIND,2023-03-15,buy,30,335.0,542.2999877929688,6218.9996337890625
284,BORORENEW,2023-03-15,buy,23,444.0,430.20001220703125,-317.39971923828125
270,BAJFINANCE,2023-03-15,buy,2,5725.0,7517.60009765625,3585.2001953125
342,FINEORG,2023-03-21,buy,2,4050.0,4466.60009765625,833.2001953125
334,NEOGEN,2023-03-22,buy,8,1260.0,1505.6500244140625,1965.2001953125
40,LAURUSLABS,2023-03-24,buy,34,300.0,385.45001220703125,2905.3004150390625
271,BAJFINANCE,2023-03-28,buy,2,5560.0,7517.60009765625,3915.2001953125
323,RAJRATAN,2023-06-06,buy,14,761.0,731.7999877929688,-408.8001708984375
343,FINEORG,2023-06-22,buy,2,4830.0,4466.60009765625,-726.7998046875
272,BAJFINANCE,2023-06-23,buy,2,6985.0,7517.60009765625,1065.2001953125
209,DMART,2023-06-23,buy,3,3750.0,4045.64990234375,886.94970703125
158,POLYCAB,2023-06-23,buy,1,3427.0,5674.64990234375,2247.64990234375
157,POLYCAB,2023-06-23,buy,1,3427.0,5674.64990234375,2247.64990234375
156,POLYCAB,2023-06-23,buy,1,3430.0,5674.64990234375,2244.64990234375
155,POLYCAB,2023-06-23,buy,1,3430.0,5674.64990234375,2244.64990234375
98,HAPPSTMNDS,2023-06-23,buy,11,955.0,934.7000122070312,-223.29986572265625
300,KPITTECH,2023-07-04,buy,14,1061.0,1517.699951171875,6393.79931640625
273,BAJFINANCE,2023-07-11,buy,2,7450.0,7517.60009765625,135.2001953125
344,FINEORG,2023-07-11,buy,3,4710.0,4466.60009765625,-730.19970703125
136,DEEPAKNTR,2023-07-11,buy,6,1940.0,2306.550048828125,2199.30029296875
210,DMART,2023-07-17,buy,3,3720.0,4045.64990234375,976.94970703125
274,BAJFINANCE,2023-07-18,buy,3,7401.0,7517.60009765625,349.80029296875
301,KPITTECH,2023-07-18,buy,14,1071.0,1517.699951171875,6253.79931640625
345,FINEORG,2023-07-18,buy,4,4750.0,4466.60009765625,-1133.599609375
178,DIVISLAB,2023-07-18,buy,1,3602.0,3696.39990234375,94.39990234375
211,DMART,2023-07-18,buy,5,3681.0,4045.64990234375,1823.24951171875
177,DIVISLAB,2023-07-18,buy,2,3602.0,3696.39990234375,188.7998046875
176,DIVISLAB,2023-07-18,buy,3,3602.0,3696.39990234375,283.19970703125
236,SONACOMS,2023-07-18,buy,30,541.0,553.0999755859375,362.999267578125
99,HAPPSTMNDS,2023-07-18,buy,20,955.0,934.7000122070312,-405.999755859375
137,DEEPAKNTR,2023-07-18,buy,10,1970.0,2306.550048828125,3365.50048828125
324,RAJRATAN,2023-07-19,buy,15,840.0,731.7999877929688,-1623.0001831054688
285,BORORENEW,2023-07-19,buy,30,472.0,430.20001220703125,-1253.9996337890625
346,FINEORG,2023-07-20,buy,4,4741.0,4466.60009765625,-1097.599609375
112,PRINCEPIPE,2023-07-21,buy,20,626.0,705.3499755859375,1586.99951171875
302,KPITTECH,2023-07-21,buy,15,1001.0,1517.699951171875,7750.499267578125
190,AFFLE,2023-07-21,buy,12,1051.0,1212.199951171875,1934.3994140625
347,FINEORG,2023-07-25,buy,3,4666.0,4466.60009765625,-598.19970703125
10,TATACHEM,2023-07-25,buy,20,980.0,1030.1500244140625,1003.00048828125
212,DMART,2023-07-25,buy,4,3671.0,4045.64990234375,1498.599609375
69,NAUKRI,2023-07-26,buy,4,4555.0,5221.5498046875,2666.19921875
348,FINEORG,2023-07-27,buy,1,4455.0,4466.60009765625,11.60009765625
349,FINEORG,2023-07-27,buy,1,4455.0,4466.60009765625,11.60009765625
350,FINEORG,2023-07-27,buy,2,4455.0,4466.60009765625,23.2001953125
275,BAJFINANCE,2023-07-27,buy,2,7280.0,7517.60009765625,475.2001953125
240,SONACOMS,2023-08-09,buy,1,554.0,553.0999755859375,-0.9000244140625
241,SONACOMS,2023-08-09,buy,12,554.0,553.0999755859375,-10.80029296875
239,SONACOMS,2023-08-09,buy,7,554.0,553.0999755859375,-6.3001708984375
238,SONACOMS,2023-08-09,buy,6,554.0,553.0999755859375,-5.400146484375
237,SONACOMS,2023-08-09,buy,4,554.0,553.0999755859375,-3.60009765625
213,DMART,2023-08-10,buy,5,3601.0,4045.64990234375,2223.24951171875
100,HAPPSTMNDS,2023-08-14,buy,20,892.0,934.7000122070312,854.000244140625
276,BAJFINANCE,2023-08-14,buy,2,7001.0,7517.60009765625,1033.2001953125
214,DMART,2023-08-14,buy,4,3515.0,4045.64990234375,2122.599609375
325,RAJRATAN,2023-08-16,buy,20,725.0,731.7999877929688,135.999755859375
138,DEEPAKNTR,2023-08-16,buy,7,2035.0,2306.550048828125,1900.850341796875
277,BAJFINANCE,2023-08-17,buy,4,6935.0,7517.60009765625,2330.400390625
179,DIVISLAB,2023-08-17,buy,5,3650.0,3696.39990234375,231.99951171875
11,TATACHEM,2023-08-17,buy,20,990.0,1030.1500244140625,803.00048828125
351,FINEORG,2023-08-17,buy,5,4561.0,4466.60009765625,-471.99951171875
70,NAUKRI,2023-08-17,buy,5,4301.0,5221.5498046875,4602.7490234375
336,NEOGEN,2023-08-17,buy,2,1546.0,1505.6500244140625,-80.699951171875
335,NEOGEN,2023-08-17,buy,10,1546.0,1505.6500244140625,-403.499755859375
139,DEEPAKNTR,2023-08-17,buy,10,2001.0,2306.550048828125,3055.50048828125
293,DEVYANI,2023-08-21,buy,34,195.0,184.6999969482422,-350.2001037597656
292,DEVYANI,2023-08-21,buy,17,195.0,184.6999969482422,-175.1000518798828
84,IONEXCHANG,2023-08-21,buy,23,473.0,589.7000122070312,2684.1002807617188
